"label"
"Len Sutton"
"Mauri Rose"
"Colin Chapman"
"Nelson Piquet"
"Johnny Herbert"
"Olivier Gendebien"
"Peter Monteverdi"
"Alan Brown (racing driver)"
"Alex Soler-Roig"
"Asdrúbal Fontes Bayardo"
"Dennis Taylor (racing driver)"
"Didier Pironi"
"Georges Grignard"
"Gerry Ashmore"
"Hubert Hahne"
"Jerry Unser Jr."
"John Cannon (racing driver)"
"جول بيانكي"
"Lorenzo Bandini"
"Peter de Klerk"
