"label","Konfiguration"
"","straight-four"
"","straight-four"
"",""
"",""
"",""
"",""
"","straight-six"
"",""
"",""
"","straight-four"
"","V6"
"",""
"",""
"",""
"",""
"",""
"","straight-four"
"","straight-four"
"",""
"",""
