"label"
"Paul Gouyon"
"Pierre Eyt"
"Pietro Maffi"
"Aloísio Lorscheider"
"Juan Benlloch y Vivó"
"Albert Vanhoye"
"James Michael Harvey"
""
"List of Major Archbishops of Thiruvananthapuram"
"Louis-Jean Guyot"
"Georges Grente"
"Alexis-Henri-Marie Lépicier"
"Tommaso Pio Boggiani"
"Francesco Carpino"
"Giovanni Bonzano"
"Raffaele Farina"
"Oreste Giorgi"
"Raffaele Monaco La Valletta"
"Alfred Baudrillart"
"Benito Sanz y Fores"
