"label"
"Sidney Smith (Snookerspieler)"
"Steve James (snooker player)"
"Tom Newman (billiards player)"
"Walter Donaldson (snooker player)"
"Stuart Carrington"
"Daniel Ward (snooker player)"
"Robbie Williams (Snookerspieler)"
"Alan McManus"
"Allan Taylor (Snookerspieler)"
"Igor Figueiredo"
"Nick Walker (snooker player)"
"Patsy Fagan"
"Rod Lawler"
"Leo Scullion"
"Atthasit Mahitthi"
"Chris Norbury"
"Patrick Einsle"
"Peter Gilchrist (billiards player)"
