"label"
"Mario Tirelli"
"Philippe Cuénoud"
"Tadeusz Jaczewski"
"Carl Ribbe"
"Clas Bjerkander"
"Ferdinand Le Cerf"
"Alexandre Louis Lefèbvre de Cérisy"
"Charles Le Doux"
"Dennis Leston"
"Jean Nicolas Vallot"
"Étienne Mulsant"
"Carl Geyer (Entomologe)"
"Eugène Boullet"
"Nikolay Grigoryevich Yershov"
"Giuseppe Saverio Poli"
"Louis Jérôme Reiche"
"前田利保"
"William Wood (Zoologe)"
