"label"
"Erhard Wunderlich"
"Marianna Nagy (handballer)"
"Toke Holst"
"Gabriella Kindl"
"Ivan Djurkovic"
"Jakob Vestergaard"
"Josip Perić"
"Marija Igorewna Sidorowa"
"Sabine Klimek"
"Uroš Vilovski"
"Carlos Pérez (Handballspieler)"
"Fredrik Lindahl"
"Ionela Stanca-Gâlcă"
"István Varga"
"Jessy Kramer"
"Mariusz Jurasik"
"Alexandra do Nascimento"
"Alexandrina Cabral Barbosa"
"Amine Bannour"
"Anett Kisfaludy"
