"label"
"Belleville Bulls"
"Birmingham Bulls (ECHL)"
"Cape Breton Oilers"
"Chicago Express"
"Chilliwack Chiefs (2011–)"
"Clinton Comets"
"Columbus Chill"
"Corpus Christi IceRays"
"Coulee Region Chill"
"Dieppe Commandos"
"Dundee Comets"
"Elliot Lake Vikings"
"Everett Silvertips"
"Green Bay Gamblers"
"Hannover Scorpions"
"Jamestown Vikings"
"Jersey Shore Wildcats"
"Johnstown Chiefs"
"Johnstown Tomahawks"
"Marquis de Jonquière"
