"label"
"Dori of Yejju"
"Erich I. (Braunschweig-Grubenhagen)"
"Erich I. (Braunschweig-Calenberg-Göttingen)"
"Erich (Mecklenburg)"
"Erich II. (Mecklenburg)"
"Erich II. (Pommern)"
"Faisal bin Turki bin Abdullah Al Saud"
"Friedrich IX. (Hohenzollern)"
"Friedrich von Brandenburg (1588–1611)"
"Friedrich VI. (Zollern)"
"Friedrich VI. (Baden-Durlach)"
"Friedrich VII. (Zollern)"
"Friedrich VII. Magnus (Baden-Durlach)"
"Friedrich VIII. (Zollern)"
