"label"
"Ästiger Rautenfarn"
"Botrychium minganense"
"Cheilanthes feei"
"Cibotium barometz"
"Cryptogramma acrostichoides"
"Cystopteris bulbifera"
"Berg-Blasenfarn"
"Cystopteris protrusa"
"Cystopteris tenuis"
"Dennstaedtia punctilobula"
"Deparia acrostichoides"
"コシダ"
"Dryopteris campyloptera"
"Dryopteris clintoniana"
"Dryopteris erythrosora"
"アメリカシラネワラビ"
"Dryopteris marginalis"
"Equisetum laevigatum"
"Ruprechtsfarn"
"Lygodium japonicum"
