"label"
"Franz Kröwerath"
"Jörg Lucke"
"Uwe Benter"
"Alois Bierl"
"Anton Rom"
"Bahne Rabe"
"Guido Grabow"
"Gunther Tiersch"
"Helmut Noll"
"Herbert Schmidt (Ruderer)"
"Marlene Sinnig"
"Matthias Mellinghaus"
"Michael Wolfgramm"
"Rüdiger Henning"
"Christine Scheiblich"
"Achim Hill"
"Bernhard von Gaza"
"Herbert Adamski"
"Olaf Förster"
"Thomas Möllenkamp"
