"label","birth place","Geburtsdatum","Geburtsort"
"Kim Na-ri","","1990-04-04",""
"Maya Jansen","","1994-05-27",""
"Mikael Torpegaard","Denmark","1994-05-08",""
"Robert Bennett (tennis)","http://dbpedia.org/resource/Pittsburgh","","http://dbpedia.org/resource/Pittsburgh"
"Takuto Niki","","1987-10-12",""
