"label"
"Alex von Falkenhausen Motorenbau"
"Arzani-Volpini"
"BMS Scuderia Italia"
"Enrico Platé"
"Footwork Racing"
"Life Racing Engines"
"March Engineering"
"Onyx Grand Prix"
"Rial Racing"
"Scuderia Ambrosiana"
"Scuderia Ferrari"
"Scuderia Milano"
"Scuderia Serenissima"
"Scuderia Toro Rosso"
"Shadow Racing Cars"
"Benetton Formula"
"Modena (racing team)"
"Connaught Engineering"
"Scirocco-Powell"
"Tec-Mec"
