"label"
"Lorsch Abbey"
"Messel pit"
"Orkhon Valley"
"Pannonhalma Archabbey"
"Rhine Gorge"
"Rock carvings at Alta"
"Senegambian stone circles"
"Takht-i-Bahi"
"Tomb of Askia"
"Vilnius Old Town"
"Chengde Mountain Resort"
"Kvarken"
"Palace of the Shirvanshahs"
"Varberg Radio Station"
"Würzburg Residence"
"Dessau-Wörlitz Garden Realm"
"Giant Wild Goose Pagoda"
"New Quay (Devon)"
"Diaolou"
"Felsenmalereien von Kondoa"
