"label","Geburtsdatum"
"Cameron Davidson","1955"
"",""
"Maggie Taylor",""
"Victor Jorgensen",""
"Ellery Valdimir Wilcox",""
"",""
"Fred E. Miller","1868"
"Joseph Costa (photographer)",""
"Ken Crawford (astrophotographer)",""
"Matt Black (photographer)",""
"Tamás Révész",""
"Dawn Wirth",""
"Alan Chin (photographer)",""
"Irving Schild",""
"Mark Feldstein",""
"Ralph R. Doubleday",""
"Diana Davies (photographer)",""
"Eugene Armbruster","1865"
"Joe O’Donnell",""
"Algimantas Kezys",""
