"Sterbeort","death place","label"
"","","David Mayo (American football)"
"","","Delmas Gooch"
"","","Jameill Showers"
"","","Jeremiah Price"
"","","Jeremy Butler"
"","","Johnny Menville"
"","","Jordan Berry"
"","","Jude Adjei-Barimah"
"","","Karl Kremser"
"","","Karl Schmitz"
"","","KeiVarae Russell"
"","","Kenzel Doe"
"","","Kevin Whimpey"
"","","Matt Hanousek"
"","","Miles Dieffenbach"
"","","Mitch Hyatt"
"","","Mitchell Van Dyk"
