"label","birth place"
"Yann Candele","http://dbpedia.org/resource/Normandy"
"Luís Mena e Silva",""
"Maurice Buret",""
"Steven Smith (equestrian)",""
"Michał Rapcewicz",""
"Wira Misewycz",""
"Gustaf Hagelin",""
"Iwan Kalita (jeździec)",""
"Xavier Lesage",""
"Louisa Hill",""
"Jos Lansink",""
"Aimé Haegeman",""
"Jean d'Orgeix",""
"Lesley McNaught",""
"Hubert Bourdy",""
"Mirosław Szłapka",""
"Adam Królikiewicz",""
"Andrew Bennie",""
"",""
"",""
