"label"
"John Krol"
"Joseph Wendel"
"Ludovico Micara"
"Mariano Rampolla"
"Mikel Koliqi"
"Miloslav Vlk"
"Paul-Émile Léger"
"Pietro Gasparri"
"Umberto Betti"
"Carlo Cremonesi"
"Filippo Maria De Monti"
"Cláudio Hummes"
"Dionigi Tettamanzi"
"Pietro Parolin"
"Alberto di Jorio"
"Augustin Bea"
"Bolesław Kominek"
"Emmanuel Théodose de la Tour d’Auvergne"
"Carlo Confalonieri"
"Dino Monduzzi"
