"death place","label","Sterbeort"
"","Alessandro Trotter",""
"","Max Bartel",""
"","Franco Andrea Bonelli",""
"","Sadao Takagi",""
"","Alfredo Andreini",""
"","Andrey Vasilyevich Martynov",""
"","Hans Bischoff",""
"","Ignacio Bolívar",""
"","Johann Angelo Ferrari",""
"","Lorenz Oldenberg",""
"","Peter Fredrik Wahlberg",""
"","Moritz Balthasar Borkhausen",""
"","Otto Taschenberg",""
"","Cynthia Longfield",""
"","Eugene O'Mahoney",""
"","Louis Gabriel d'Antessanty",""
"","Nikolaus Joseph Brahm",""
"","S. A. von Rottemburg",""
"","إميليو كورناليا",""
