"label"
"Veronica Grace Boland"
"William C. Cramer"
"William Henry Forney"
"William Lyman (congressman)"
"William Patterson (New York)"
"Zachary Taylor (Tennessee)"
"Abraham Bockee"
"Benjamin Goodhue"
"Bob Gibbs"
"Daniel W. Connolly"
"Donald Edgar Tewes"
"Eli Thayer"
"Frank Charles Bunnell"
"Fred R. Zimmerman"
"Fred Richmond"
"George Robison Black"
"Jeremiah O’Brien (Politiker)"
"Jim Renacci"
"John B. Macy"
"John W. Boehne"
