"label","birth place"
"Roy Wang","http://dbpedia.org/resource/Chongqing"
"塩谷瞬",""
"嶋俊介",""
"Syren De Mer",""
"磯村知美",""
"雅慧","Singapore"
"白川裕二郎",""
"花守ゆみり",""
"藤本譲",""
"芹澤優",""
"张慧雯 (中国大陆)",""
"Atsuo Nakamura",""
"渡辺梓",""
"Bharat Masrani",""
"Byron Gibson",""
"Chang Tsai-Hsing","http://dbpedia.org/resource/Changhua_City"
