"label"
"Mattel Aquarius"
"Memotech MTX"
"Microsoft KIN"
"Mylo (Sony)"
"N-Gage QD"
"NeXTcube"
"Nintendo DS"
"Nixie (drone)"
"Nokia Booklet 3G"
"OLPC XO-1"
"Panasonic Q"
"Pegasus"
"Power Mac G4 Cube"
"Rainbow 100"
"Rascal (single-board computer)"
"Samsung Galaxy Tab series"
"تي-موبايل بيولس"
"VTech Laser 200"
"Vii"
"Watara Supervision"
