"label"
"Peter Poreku Dery"
"Alexandre do Nascimento"
"Andrea Carlo Ferrari"
"Bernard Yago"
"Camillo Massimo"
"Camillo Ruini"
"Carlo Grano"
"Desmond Connell"
"Domenico Pignatelli di Belmonte"
"Engelbert Sterckx"
"Gennaro Granito Pignatelli di Belmonte"
"Giacomo Antonelli"
"Giacomo Biffi"
"Giovanni Battista Caprara"
"Giovanni Benelli"
"Giulio Tonti"
"Jaime Lucas Ortega y Alamino"
"Jean-Claude Turcotte"
"Jean-Marie Lustiger"
"Johannes de Jong"
