"label"
"Indusium griseum"
"Paraterminal gyrus"
"Cerebrospinal fibers"
"Dorsal column nuclei"
"Optic recess"
"Posterior perforated substance"
"Rhomboid fossa"
"Stratum zonale of thalamus"
"Ventral supraoptic decussation"
"Pacchionian foramen"
"Medullary laminae of thalamus"
"Anterior cochlear nucleus"
"Anterior proper fasciculus"
"Basilar sulcus"
"Chiasmatic cistern"
"Dorsal longitudinal fasciculus"
"Inferior frontal sulcus"
"Inferior longitudinal fasciculus"
"下側頭溝"
"Lateral proper fasciculus"
