"label"
"نمر النمر"
"Tetsugen Dōkō"
"Yasa"
"Padre Cícero"
"Bulambo Lembelembe Josué"
"Chân Không"
"大日房能忍"
"Saud Al-Shuraim"
"William Nyogen Yeo"
"John A. Mackay"
"Hōnen"
"Arthur Stanley (priest)"
"Chögyam Trungpa"
"George Bradley (priest)"
"Qutbuddin Bakhtiar Kaki"
"Takuan Sōhō"
"Aga Khan II"
"Bour Kry"
"永嘉玄覚"
