"label"
"Ashley B. Wright"
"Bartel J. Jonkman"
"Benjamin Gorham"
"Bill Boner"
"Bill Foster"
"Charles Allen (Massachusetts politician)"
"D. Lane Powers"
"David Barclay (congressman)"
"David Davis (U.S. politician)"
"David Price (U.S. politician)"
"Edward Boland"
"Floyd H. Flake"
"George B. Churchill"
"Ginny Brown-Waite"
"James Black (congressman)"
"James Johnson (Kentucky)"
"James Wilson (1797–1881)"
"Jim Marshall (Georgia politician)"
"John Banks (U.S. politician)"
"John Basil Lamar"
