"label"
"Jurij Vovk"
"Richard Réti"
"Vera Menchik"
"Natalia Khoudgarian"
"Eldar Hasanow"
"Nils Grandelius"
"Victor Palciauskas"
"Zehra Topel"
"Krunoslav Hulak"
"Wera Walerjewna Nebolsina"
"Alexander Shabalov"
"Boris Gulko"
"Vladimirs Petrovs"
"Giorgi Bagaturow"
"Panchanathan Magesh Chandran"
"Nino Gurieli"
"Ryszard Skrobek"
"Stellan Brynell"
"Szidónia Vajda"
"Aleksej Korotilev"
