"label"
"U 676"
"German submarine U-677"
"U-680"
"German submarine U-681"
"German submarine U-682"
"German submarine U-683"
"German submarine U-731"
"Hitachi small-type monorail (Sentosa Express)"
"アウダーチェ (駆逐艦・2代)"
"京阪7200系電車"
"كوينيجسيج ريغييرا"
"MS Harmony of the Seas"
"Queen of the Mississippi (2017 Ship)"
"Queen of the West (ship)"
"Seibu 40000 series"
"Soaring Concepts Sky Trek"
"120-ton class repair dry dock"
"300-ton class environmental research ship"
"3200 horse power class tug"
"36-m class floating pile driver"
