"label"
"Atyusz III Atyusz"
"Batiz Negol"
"Brocca"
"Bucan"
"Cadarius"
"Charena"
"Cumpurdinus"
"Demetrius I Csák"
"Dominic Miskolc"
"Esau (judge royal)"
"Gabriel (judge royal)"
"George (judge royal)"
"Gereon (judge royal)"
"Héder"
"Julius (judge royal)"
"Ladislaus IV Kán"
"Ladislaus I Kán"
"Lawrence (judge royal)"
