"label"
"Carlos Mendieta y Montefur"
"Chadli Bendjedid"
"Emiliano Figueroa"
"Enrique Barón Crespo"
"Federico Chávez"
"Feliciano Leviste"
"Félix Houphouët-Boigny"
"Garretson W. Gibson"
"Gordon Daniel Conant"
"Gustavo Adolfo Espina Salguero"
"Gustavo Díaz Ordaz"
"Gustavo Noboa"
"Humberto de Alencar Castelo Branco"
"Ibrahim Abboud"
"Ignacio Comonfort"
"Ivan Melnikov (politician)"
"Ivan Ribar"
"Joaquín Crespo"
"John Jenkins (Australian politician)"
"José Figueroa Alcorta"
