"label"
"WonderSwan"
"Xbox One"
"PocketStation"
"Time Capsule"
"HTC Universal"
"Orao (computer)"
"ايربلاي"
"DragonBox Pyra"
"Macintosh Portable"
"Nokia 770 Internet Tablet"
"Power Macintosh 7600"
"SGI Fuel"
"Atari XEGS"
"Amiga 4000"
"Nintendo Entertainment System (Model NES-101)"
"MicroBee"
"Panasonic M2"
"Philips P2000"
"CP System"
"CP System II"
