"label"
"Fadil Hoxha"
"Ferenc Nagy"
"Francisco Linares Alcántara"
"Gerry Weiner"
"Getúlio Vargas"
"Hossein Ala'"
"Jam Sadiq Ali"
"John Babington Macaulay Baxter"
"John Thwaites (Australian politician)"
"Julio Argentino Roca"
"Kenneth Pitzer"
"Lemuel John Tweedie"
"Mathieu Kérékou"
"Melchior Ndadaye"
"Miguel Alemán Valdés"
"Nicanor Duarte"
"Nicole Fontaine"
"Ramiro de León Carpio"
"ريكاردو لاغوس"
