"label"
"Lygodium palmatum"
"Ophioglossum pusillum"
"Osmunda claytoniana"
"Pellaea atropurpurea"
"Pellaea glabella"
"Phegopteris hexagonoptera"
"Pleopeltis polypodioides"
"سرخس أبلاشي"
"ديشار سيفي الشكل"
"Tectaria zeylanica"
"Woodsia obtusa"
"Woodsie d'Orégon"
"Woodsia scopulina"
"Woodwardia areolata"
"顶芽狗脊"
"Woodwardia virginica"
"Gaga (genre)"
"Asplenium × kentuckiense"
"Cyathea acrostichoides"
"Cyathea medullaris"
