"label","cilindrada (μ³)"
"","0.0093"
"",""
"","0.0093"
"","0.0117"
"",""
"","0.000624131"
"",""
"","0.00217954"
"","0.00217954"
"","0.003"
"","0.0077"
"BMW M47",""
"Ford Windsor engine",""
"GM Family 1 engine",""
"Nissan VQ engine",""
"Polyspheric",""
"Toyota VZ engine",""
"BMW M44",""
"Nissan HR engine",""
"Toyota UR engine",""
